Konfiguracja,MDM Optimal 58 (montaż do 30 km od zakładu produkcyjnego),MDM Optimal 58 (montaż do 100 km od zakładu produkcyjnego),MDM Optimal 58 (montaż do 300 km od zakładu produkcyjnego),MDM Optimal 74 (montaż do 30 km od zakładu produkcyjnego),MDM Optimal 74 (montaż do 100 km od zakładu produkcyjnego),MDM Optimal 74 (montaż do 300 km od zakładu produkcyjnego),MDM Optimal 82 (montaż do 30 km od zakładu produkcyjnego),MDM Optimal 82 (montaż do 100 km od zakładu produkcyjnego),MDM Optimal 82 (montaż do 300 km od zakładu produkcyjnego),MDM Optimal Z273A (montaż do 30 km od zakładu produkcyjnego),MDM Optimal Z273A (montaż do 100 km od zakładu produkcyjnego),MDM Optimal Z273A (montaż do 300 km od zakładu produkcyjnego),MDM 58 BIS (montaż do 30 km od zakładu produkcyjnego),MDM 58 BIS (montaż do 100 km od zakładu produkcyjnego),MDM 58 BIS (montaż do 300 km od zakładu produkcyjnego),MDM STODOŁA 77 (montaż do 30 km od zakładu produkcyjnego),MDM STODOŁA 77 (montaż do 100 km od zakładu produkcyjnego),MDM STODOŁA 77 (montaż do 300 km od zakładu produkcyjnego),MDM 70 (montaż do 30 km od zakładu produkcyjnego),MDM 70 (montaż do 100 km od zakładu produkcyjnego),MDM 70 (montaż do 300 km od zakładu produkcyjnego),MDM 80 (montaż do 30 km od zakładu produkcyjnego),MDM 80 (montaż do 100 km od zakładu produkcyjnego),MDM 80 (montaż do 300 km od zakładu produkcyjnego),MDM 90 (montaż do 30 km od zakładu produkcyjnego),MDM 90 (montaż do 100 km od zakładu produkcyjnego),MDM 90 (montaż do 300 km od zakładu produkcyjnego),MDM 110 (montaż do 30 km od zakładu produkcyjnego),MDM 110 (montaż do 100 km od zakładu produkcyjnego),MDM 110 (montaż do 300 km od zakładu produkcyjnego),DM1 (montaż do 30 km od zakładu produkcyjnego),DM1 (montaż do 100 km od zakładu produkcyjnego),DM1 (montaż do 300 km od zakładu produkcyjnego)
Powierzchnia podłóg,58.0 m²,58.0 m²,58.0 m²,74.0 m²,74.0 m²,74.0 m²,82.0 m²,82.0 m²,82.0 m²,106.5 m²,106.5 m²,106.5 m²,93.5 m²,93.5 m²,93.5 m²,92.0 m²,92.0 m²,92.0 m²,73.3 m²,73.3 m²,73.3 m²,80.5 m²,80.5 m²,80.5 m²,93.5 m²,93.5 m²,93.5 m²,113.0 m²,113.0 m²,113.0 m²,136.0 m²,136.0 m²,136.0 m²
Powierzchnia podłóg z adaptacją poddasza,90.0 m²,90.0 m²,90.0 m²,116.0 m²,116.0 m²,116.0 m²,129.0 m²,129.0 m²,129.0 m²,,,,,,,,,,,,,,,,,,,,,,,,
"Zestaw Podstawowy, brutto (8%):
Ściany szkieletowe z drewna klejonego KVH C24 ocieplone, wykończone od wewn. konstrukcyjną płytą GK. 
Elewacja na styropianie grafitowym gr. 12 cm zakończona klejem z siatką. 
Okna PCV białe 3-szybowe współczynnik przenikania ciepła Uw≤0,9 W/(m²·K), z ciepłym montażem na zakładzie produkcyjnym, z parapetami zewnętrznymi (aluminium lub blacha powlekana)
Drzwi wejściowe
Ściany montażowe ze stelażami podtynkowymi w/c.
Więźba dachowa z wiązarów
Pokrycie dachu blachodachówka, podsufitka stalowa, orynnowanie PVC
Transport na plac budowy, usługi dźwigu i rusztowania do montażu","207,380.00 zł","212,000.00 zł","222,190.00 zł","243,090.00 zł","248,440.00 zł","260,360.00 zł","273,330.00 zł","279,280.00 zł","292,420.00 zł","323,140.00 zł","331,180.00 zł","350,260.00 zł","270,860.00 zł","276,690.00 zł","291,650.00 zł","309,000.00 zł","314,890.00 zł","330,030.00 zł","245,300.00 zł","251,180.00 zł","265,910.00 zł","263,240.00 zł","269,540.00 zł","285,110.00 zł","286,330.00 zł","292,990.00 zł","309,850.00 zł","337,820.00 zł","345,680.00 zł","365,100.00 zł","405,630.00 zł","414,480.00 zł","434,290.00 zł"
"Dopłata za Płytę Fundamentową bez prac ziemnych, brutto (8%):
200 mm z instalacją podposadzkową i przepustami, bez prac ziemnych","32,240.00 zł","33,240.00 zł","34,900.00 zł","40,740.00 zł","42,020.00 zł","44,120.00 zł","45,420.00 zł","46,840.00 zł","49,180.00 zł","58,140.00 zł","59,960.00 zł","62,960.00 zł","32,240.00 zł","33,240.00 zł","34,900.00 zł","32,240.00 zł","33,240.00 zł","34,900.00 zł","41,450.00 zł","42,750.00 zł","44,800.00 zł","45,290.00 zł","46,710.00 zł","49,000.00 zł","52,450.00 zł","54,090.00 zł","56,800.00 zł","62,790.00 zł","64,750.00 zł","67,990.00 zł","38,910.00 zł","40,130.00 zł","42,140.00 zł"
"Dopłata za Stan Deweloperski, brutto (8%):
Izolacja termiczna stropu (dolny pas wiązarów dachowych) - wełną mineralną 200 mm + 100 mm, schody strychowe, sufit podwieszany z płyt GK. Wykończenie elewacji - tynk akrylowy w kolorze białym plus wstawki antracytowe, tynk mozaikowy.
Posadzka podłogowa z ociepleniem ze styropianu 120 mm
Instalacja elektryczna - okablowanie, puszki podtynkowe i rozdzielnia, bez białego montażu
Instalacja wod-kan - bez białego montażu
Instalacja centralnego ogrzewania – elektryczna (folia grzewcza), zbiornik c.w.u.
Wentylacja grawitacyjna (kominki dachowe)","87,440.00 zł","89,480.00 zł","91,340.00 zł","101,000.00 zł","103,460.00 zł","105,380.00 zł","107,630.00 zł","110,280.00 zł","112,130.00 zł","142,910.00 zł","146,660.00 zł","148,360.00 zł","133,470.00 zł","136,590.00 zł","138,500.00 zł","121,130.00 zł","124,160.00 zł","126,000.00 zł","108,340.00 zł","111,170.00 zł","112,970.00 zł","115,800.00 zł","118,830.00 zł","120,560.00 zł","133,880.00 zł","137,270.00 zł","139,090.00 zł","152,900.00 zł","156,850.00 zł","158,690.00 zł","152,880.00 zł","155,970.00 zł","158,310.00 zł"
"Razem, Stan Deweloperski w konfiguracji podstawowej, brutto (8%):","327,060.00 zł","334,720.00 zł","348,430.00 zł","384,830.00 zł","393,920.00 zł","409,860.00 zł","426,380.00 zł","436,400.00 zł","453,730.00 zł","524,190.00 zł","537,800.00 zł","561,580.00 zł","436,570.00 zł","446,520.00 zł","465,050.00 zł","462,370.00 zł","472,290.00 zł","490,930.00 zł","395,090.00 zł","405,100.00 zł","423,680.00 zł","424,330.00 zł","435,080.00 zł","454,670.00 zł","472,660.00 zł","484,350.00 zł","505,740.00 zł","553,510.00 zł","567,280.00 zł","591,780.00 zł","597,420.00 zł","610,580.00 zł","634,740.00 zł"
"Zmiana konstrukcji ścian zewn. na dyfuzyjnie otwartą - aktywna paroizolacja, elewacja z wełny skalnej na płycie gipsowo-włóknowej, brutto (8%)","13,200.00 zł","13,200.00 zł","13,200.00 zł","14,510.00 zł","14,510.00 zł","14,510.00 zł","15,450.00 zł","15,450.00 zł","15,450.00 zł","14,700.00 zł","14,700.00 zł","14,700.00 zł","15,900.00 zł","15,900.00 zł","15,900.00 zł","8,280.00 zł","8,280.00 zł","8,280.00 zł","15,390.00 zł","15,390.00 zł","15,390.00 zł","15,360.00 zł","15,360.00 zł","15,360.00 zł","18,040.00 zł","18,040.00 zł","18,040.00 zł","20,680.00 zł","20,680.00 zł","20,680.00 zł","24,140.00 zł","24,140.00 zł","24,140.00 zł"
"Zmiana pokrycia dachowego na dachówkę betonową, brutto (8%)","7,430.00 zł","7,890.00 zł","8,450.00 zł","8,940.00 zł","9,470.00 zł","9,990.00 zł","9,780.00 zł","10,340.00 zł","10,840.00 zł","15,850.00 zł","16,920.00 zł","18,120.00 zł",,,,,,,"8,050.00 zł","8,550.00 zł","9,090.00 zł","7,040.00 zł","7,390.00 zł","7,850.00 zł","10,080.00 zł","10,700.00 zł","11,330.00 zł","11,650.00 zł","12,350.00 zł","13,100.00 zł","8,180.00 zł","8,870.00 zł","9,630.00 zł"
"Rolety fasadowe z napędem elektrycznym i sterowaniem z klawisza, brutto (8%)","9,430.00 zł","9,430.00 zł","9,430.00 zł","13,000.00 zł","13,000.00 zł","13,000.00 zł","14,530.00 zł","14,530.00 zł","14,530.00 zł","19,700.00 zł","19,700.00 zł","19,700.00 zł","13,610.00 zł","13,610.00 zł","13,610.00 zł","14,780.00 zł","14,780.00 zł","14,780.00 zł","11,680.00 zł","11,680.00 zł","11,680.00 zł","15,470.00 zł","15,470.00 zł","15,470.00 zł","15,530.00 zł","15,530.00 zł","15,530.00 zł","16,480.00 zł","16,480.00 zł","16,480.00 zł","27,770.00 zł","27,770.00 zł","27,770.00 zł"
"Żaluzje fasadowe z napędem elektrycznym i sterowaniem z klawisza, brutto (8%)","10,710.00 zł","10,710.00 zł","10,710.00 zł","14,720.00 zł","14,720.00 zł","14,720.00 zł","16,580.00 zł","16,580.00 zł","16,580.00 zł","21,100.00 zł","21,100.00 zł","21,100.00 zł","15,480.00 zł","15,480.00 zł","15,480.00 zł","17,100.00 zł","17,100.00 zł","17,100.00 zł","13,060.00 zł","13,060.00 zł","13,060.00 zł","16,880.00 zł","16,880.00 zł","16,880.00 zł","16,520.00 zł","16,520.00 zł","16,520.00 zł","18,430.00 zł","18,430.00 zł","18,430.00 zł","30,800.00 zł","30,800.00 zł","30,800.00 zł"
"Zamiana CO na wentylacyjną pompę ciepła z ogrzewaniem podłogowym i rekuperacją, brutto (8%)","39,850.00 zł","40,050.00 zł","40,900.00 zł","40,520.00 zł","40,710.00 zł","41,670.00 zł","40,800.00 zł","40,990.00 zł","42,050.00 zł","40,200.00 zł","40,250.00 zł","41,330.00 zł","38,430.00 zł","38,510.00 zł","39,410.00 zł","39,780.00 zł","39,910.00 zł","41,110.00 zł","38,330.00 zł","39,030.00 zł","39,280.00 zł","37,920.00 zł","38,000.00 zł","38,960.00 zł","40,380.00 zł","40,470.00 zł","41,530.00 zł","39,740.00 zł","39,770.00 zł","40,800.00 zł","42,100.00 zł","42,190.00 zł","43,460.00 zł"
"Okna kolorowe obustronnie, brutto (8%)","1,700.00 zł","1,700.00 zł","1,700.00 zł","2,300.00 zł","2,300.00 zł","2,300.00 zł","2,410.00 zł","2,410.00 zł","2,410.00 zł","3,100.00 zł","3,100.00 zł","3,100.00 zł","2,350.00 zł","2,350.00 zł","2,350.00 zł","3,200.00 zł","3,200.00 zł","3,200.00 zł","2,100.00 zł","2,100.00 zł","2,100.00 zł","2,640.00 zł","2,640.00 zł","2,640.00 zł","2,270.00 zł","2,270.00 zł","2,270.00 zł","2,460.00 zł","2,460.00 zł","2,460.00 zł","4,150.00 zł","4,150.00 zł","4,150.00 zł"
"Dopłata za spoinowanie i szpachlowanie połączeń płyt GK standard Q3 i jednokrotne pomalowanie na biało, brutto (8%)","22,290.00 zł","22,290.00 zł","22,290.00 zł","25,530.00 zł","25,530.00 zł","25,530.00 zł","34,930.00 zł","34,930.00 zł","34,930.00 zł","36,140.00 zł","36,140.00 zł","36,140.00 zł","30,790.00 zł","30,790.00 zł","30,790.00 zł","36,470.00 zł","36,470.00 zł","36,470.00 zł","30,530.00 zł","30,530.00 zł","30,530.00 zł","31,960.00 zł","31,960.00 zł","31,960.00 zł","33,960.00 zł","33,960.00 zł","33,960.00 zł","41,540.00 zł","41,540.00 zł","41,540.00 zł","50,530.00 zł","50,530.00 zł","50,530.00 zł"
"Adaptacja poddasza, brutto (8%):
Wzmocnione wiązary
Podest na poddaszu 
Ocieplenie i wykończenie ścian i sufitu poddasza użytkowego w konstrukcji wiązarowej
Ocieplenie i wykończenie ścian szczytowych poddasza użytkowego w konstrukcji wiązarowej
Drzwi balkonowe 1,6x2,05m 2szt z barierkami, okno połaciowe drewniane 74x118cm 1szt.
Ściany wewnętrzne poddasza wykończone płytą GK
Schody z drewna iglastego w zamian za strychowe
Stelaż podtynkowy w/c
3 dodatkowe punkty wod-kan, dodatkowa pow. do ogrzewania i szpachlowania","87,400.00 zł","89,240.00 zł","91,620.00 zł","101,180.00 zł","103,440.00 zł","106,350.00 zł","134,130.00 zł","137,770.00 zł","144,390.00 zł",,,,,,,,,,,,,,,,,,,,,,,,
"Zadaszenie na 2 samochody z dachem płaskim 5x5,5m, brutto (8%)","26,770.00 zł","27,290.00 zł","27,820.00 zł","26,770.00 zł","27,290.00 zł","27,820.00 zł","26,770.00 zł","27,290.00 zł","27,820.00 zł",,,,"26,770.00 zł","27,290.00 zł","27,820.00 zł",,,,,,,,,,,,,,,,,,
"Redukcja ceny przy zamianie sufitów w strefie mieszkalnej z GK na ruszcie stalowym na Sufity Napinane, brutto (8%)","-1,050.00 zł","-1,760.00 zł","-2,510.00 zł","-1,060.00 zł","-1,770.00 zł","-2,520.00 zł","-1,380.00 zł","-2,310.00 zł","-3,420.00 zł","-1,740.00 zł","-2,900.00 zł","-4,220.00 zł",,,,,,,"-1,160.00 zł","-1,960.00 zł","-2,820.00 zł","-1,420.00 zł","-2,400.00 zł","-3,320.00 zł","-1,680.00 zł","-2,840.00 zł","-3,990.00 zł","-1,740.00 zł","-2,930.00 zł","-4,230.00 zł","-1,740.00 zł","-2,930.00 zł","-4,230.00 zł"
Pergola drewniana pomalowana 2x5 m,,,,,,,,,,,,,,,,"9,450.00 zł","9,870.00 zł","10,360.00 zł",,,,,,,,,,,,,,,
Dopłata za Komin do kominka systemowy (kominek fi 180+went.) wykończony powyżej połaci dachu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* wszystkie ceny podane z VAT dla osób fizycznych, 8%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,